"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.00107,0,0.00318,0.00298,0.00211,0.0013,0.0048,0.00465,0.00249,0.00261,0.00556,0.00518,0.00279,0.00346,0.00579,0.00584,0.0034,0.00397,0.005,0.00555,0.00357,0.00409,0.00424,0.00542,0.00375,0.00408,0.00496,0.00536,0.00379,0.00424,0.00527,0.00639
"2","Exponential",0.00127,0,0.00296,0.00162,0.00223,0.00054,0.00514,0.0027,0.00275,0.00154,0.00564,0.0029,0.00301,0.0023,0.00532,0.00368,0.00339,0.00259,0.00513,0.00418,0.00333,0.00314,0.00442,0.00411,0.00359,0.0035,0.00478,0.0047,0.00435,0.00435,0.00478,0.00475
"3","Cauchy",0.00132,0,0.00295,0.00107,0.00194,4e-04,0.00463,0.00129,0.00256,0.00086,0.00555,0.00179,0.00262,0.00122,0.00555,0.0019,0.00362,0.00128,0.0048,0.00204,0.00333,0.0015,0.00426,0.00199,0.00396,0.00182,0.0054,0.00218,0.00419,0.00185,0.00488,0.00218
"4","LaPlace",0.00111,0,0.00306,0.00211,0.00215,0.00098,0.00499,0.00397,0.00265,0.00224,0.00582,0.00472,0.00267,0.00271,0.00567,0.00528,0.00336,0.00362,0.00482,0.00519,0.00375,0.00393,0.00445,0.0054,0.00354,0.00416,0.00548,0.00564,0.00404,0.00419,0.00486,0.00536
