"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.03409,0.03278,0.0173,0.01859,0.07294,0.08969,0.037,0.06434,0.11853,0.1585,0.08624,0.12696,0.20171,0.23519,0.14276,0.19962,0.25221,0.31863,0.22734,0.28192,0.3502,0.39756,0.31051,0.36773,0.41305,0.47894,0.38278,0.45025,0.48444,0.54959
"2","Exponential",0,0,0.00515,0.00199,0.00201,0.00084,0.00604,0.00351,0.0025,0.00205,0.00727,0.0052,0.00426,0.00298,0.01111,0.00733,0.00649,0.00575,0.01096,0.00924,0.00795,0.00668,0.01474,0.01157,0.0112,0.00894,0.01545,0.01312,0.01218,0.01031,0.01685,0.01546
"3","Cauchy",0,0,0.01397,0.00595,0.00598,0.00246,0.02317,0.01044,0.01079,0.00628,0.03097,0.01369,0.02197,0.01019,0.05005,0.01699,0.03238,0.01262,0.05668,0.01924,0.04645,0.0147,0.07623,0.02017,0.06264,0.01669,0.08452,0.02181,0.07342,0.0176,0.10092,0.02246
"4","LaPlace",0,0,0.02689,0.02168,0.01221,0.0114,0.05154,0.05534,0.02504,0.03794,0.07861,0.0907,0.05657,0.06932,0.13194,0.12829,0.0899,0.10383,0.16033,0.16856,0.14216,0.14199,0.2245,0.20519,0.19188,0.18156,0.2604,0.24722,0.23344,0.22069,0.31244,0.28524
