"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.01705,0.01617,0.00857,0.00892,0.03208,0.0384,0.01527,0.02539,0.04774,0.06164,0.03291,0.046,0.07836,0.08901,0.05229,0.07174,0.09254,0.1172,0.08054,0.09673,0.13426,0.15058,0.10929,0.12715,0.15648,0.18289,0.13901,0.16449,0.19129,0.22122
"2","Exponential",0,0,0.00351,0.00152,0.00156,0.00058,0.00417,0.00245,0.00148,0.00123,0.00404,0.00283,0.00243,0.00221,0.00521,0.00385,0.00263,0.00272,0.00411,0.00402,0.00368,0.00339,0.00539,0.0046,0.00385,0.00374,0.0045,0.00439,0.00372,0.00375,0.00479,0.00494
"3","Cauchy",0,0,0.0083,0.00264,0.00349,0.0014,0.01264,0.005,0.0057,0.00311,0.01629,0.00656,0.01034,0.00449,0.02356,0.00774,0.01496,0.00556,0.02497,0.00846,0.02132,0.00657,0.03512,0.0089,0.02651,0.00722,0.03831,0.00971,0.03132,0.00737,0.04385,0.01011
"4","LaPlace",0,0,0.01418,0.01024,0.00687,0.00565,0.02575,0.02397,0.01169,0.01572,0.03572,0.03732,0.02483,0.02844,0.05663,0.05108,0.03634,0.04015,0.06376,0.0637,0.05679,0.0529,0.09255,0.07852,0.07436,0.06579,0.10392,0.09202,0.09177,0.07979,0.1234,0.10692
