"","Distribution","WMW63","T63","WMW64","T64","WMW65","T65","WMW74","T74","WMW75","T75","WMW76","T76","WMW1005","T1005","WMW1507","T1507","WMW1510","T1510","WMW1512","T1512","WMW2010","T2010","WMW2015","T2015","WMW2018","T2018","NA","NA"
"1","Normal",0.0886,0.08973,0.08155,0.09617,0.11518,0.10522,0.09419,0.10371,0.11388,0.11413,0.13039,0.12503,0.11168,0.12908,0.14627,0.16307,0.16428,0.17207,0.20223,0.21273,0.2198,0.23479,0.22559,0.23216,0.28508,0.29307,0.30149,0.32111
"2","Exponential",0.07409,0.03811,0.06433,0.03387,0.08826,0.04051,0.07521,0.03586,0.08419,0.04015,0.09214,0.04827,0.07913,0.03927,0.09725,0.06736,0.112,0.05226,0.13065,0.08804,0.13599,0.11382,0.14458,0.08289,0.17403,0.14718,0.1763,0.18255
"3","Cauchy",0.06221,0.02336,0.05396,0.02416,0.07205,0.02324,0.06034,0.02417,0.07159,0.02562,0.07718,0.02543,0.0621,0.02572,0.07723,0.02918,0.08454,0.02897,0.09636,0.03027,0.10048,0.0311,0.10337,0.03025,0.12535,0.03191,0.12461,0.03081
"4","LaPlace",0.0815,0.06424,0.0727,0.06969,0.10157,0.07684,0.08327,0.07428,0.09973,0.08075,0.11153,0.08826,0.09403,0.09273,0.12324,0.11272,0.14,0.12101,0.16644,0.14204,0.17816,0.15158,0.18455,0.15249,0.22883,0.1812,0.2392,0.19479
