"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.01123,0.00677,0.0112,0.01425,0.02121,0.01897,0.0234,0.02332,0.0257,0.02551,0.01726,0.01872,0.02144,0.021,0.02159,0.02302,0.02368,0.02595,0.01984,0.02076,0.02152,0.02251,0.02496,0.02425,0.02295,0.02381,0.02026,0.02099,0.02061,0.02182,0.02316,0.02321
"2","Exponential",0.0107,0.00335,0.01122,0.00801,0.0206,0.01103,0.02275,0.01518,0.02563,0.0173,0.01744,0.01323,0.02238,0.01586,0.02233,0.01804,0.02295,0.01975,0.01982,0.01708,0.0225,0.01829,0.02366,0.01994,0.02406,0.02211,0.02011,0.01826,0.02037,0.01975,0.02428,0.02205
"3","Cauchy",0.01093,0.00188,0.01133,0.00419,0.02158,0.00591,0.0222,0.00722,0.02505,0.00823,0.01729,0.00646,0.02267,0.00789,0.02308,0.00834,0.02336,0.00874,0.02001,0.00764,0.02156,0.00779,0.02438,0.00881,0.02397,0.0093,0.02007,0.00769,0.02023,0.00819,0.0237,0.00903
"4","LaPlace",0.01047,0.00462,0.01085,0.01018,0.02135,0.01532,0.02259,0.01931,0.02587,0.02173,0.01683,0.01595,0.02237,0.01896,0.02086,0.02047,0.02358,0.02449,0.02008,0.01966,0.02217,0.02095,0.02461,0.02344,0.02375,0.02342,0.02008,0.02095,0.02141,0.02257,0.02373,0.02277
