"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.0035,0.00308,0.00142,0.00126,0.00423,0.00461,0.00169,0.00262,0.00424,0.00526,0.00222,0.00337,0.00474,0.00499,0.00274,0.004,0.0038,0.0051,0.00326,0.00403,0.00505,0.00533,0.00376,0.00412,0.00488,0.0059,0.00361,0.00406,0.00475,0.00559
"2","Exponential",0,0,0.00357,0.0014,0.00134,0.00056,0.0041,0.00225,0.00164,0.00133,0.00427,0.00339,0.00234,0.00226,0.00488,0.00375,0.0028,0.00296,0.00428,0.004,0.00336,0.00316,0.00504,0.00435,0.00402,0.00387,0.00483,0.00492,0.00389,0.00377,0.00464,0.00447
"3","Cauchy",0,0,0.00395,0.00104,0.00134,0.00035,0.00366,0.00123,0.00175,0.00076,0.00401,0.00167,0.00228,0.00101,0.00504,0.00165,0.00306,0.0015,0.00463,0.00188,0.00353,0.0017,0.00505,0.00224,0.00383,0.00175,0.00481,0.00216,0.00404,0.00171,0.00488,0.00228
"4","LaPlace",0,0,0.00345,0.00228,0.00136,0.00104,0.00425,0.00381,0.0015,0.00193,0.00365,0.00436,0.00239,0.00322,0.00506,0.00499,0.00251,0.00338,0.00418,0.00511,0.00371,0.00395,0.00542,0.00528,0.00387,0.00442,0.00471,0.00545,0.00343,0.00417,0.00487,0.0055
