"","Distribution","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N12","T-N12","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.29911,0.3306,0.43838,0.45065,0.49454,0.50664,0.6306,0.6445,0.75287,0.78052
"2","Exponential",0.13408,0.09138,0.19818,0.14834,0.21922,0.17848,0.29271,0.27556,0.35992,0.39725
"3","Cauchy",0.11686,0.05467,0.16867,0.05938,0.19006,0.06165,0.23951,0.06594,0.28886,0.06868
"4","LaPlace",0.22668,0.21904,0.33206,0.28712,0.3737,0.31825,0.48671,0.40669,0.59611,0.50967
