"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.00676,0.00597,0.00325,0.00317,0.01002,0.01145,0.00437,0.00681,0.01306,0.01683,0.00762,0.01119,0.01924,0.02104,0.01105,0.01477,0.02028,0.02617,0.0172,0.01997,0.02744,0.02982,0.02158,0.02464,0.03016,0.03449,0.02567,0.02954,0.03551,0.04192
"2","Exponential",0,0,0.00956,0.00267,0.00495,0.00113,0.01554,0.00836,0.00677,0.00548,0.01994,0.01788,0.01332,0.013,0.02922,0.0279,0.01923,0.02487,0.03404,0.0448,0.02915,0.03698,0.04601,0.05856,0.03681,0.05259,0.05129,0.0769,0.04381,0.06891,0.06022,0.09511
"3","Cauchy",0,0,0.00481,0.00123,0.00215,0.00063,0.00592,0.00179,0.00262,0.0014,0.00739,0.00287,0.00411,0.00153,0.00968,0.00318,0.00552,0.00213,0.0098,0.00369,0.00718,0.00241,0.01231,0.00326,0.00924,0.00274,0.01215,0.00389,0.00972,0.00304,0.01375,0.00403
"4","LaPlace",0,0,0.0064,0.00415,0.00242,0.00184,0.00928,0.00827,0.00401,0.00521,0.01123,0.01136,0.0068,0.00738,0.01601,0.01405,0.01016,0.0109,0.01658,0.01714,0.01401,0.01293,0.02161,0.01855,0.01726,0.01575,0.02431,0.02244,0.02068,0.01876,0.02752,0.02468
