"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.03382,0.03291,0.01739,0.01862,0.07251,0.09021,0.03771,0.06407,0.12071,0.16035,0.08476,0.12462,0.20153,0.23738,0.14266,0.20016,0.25188,0.32002,0.22743,0.28066,0.35082,0.40101,0.30646,0.36509,0.41191,0.48118,0.3774,0.44574,0.49045,0.5567
"2","Exponential",0,0,0.00474,0.00176,0.00176,0.00073,0.00658,0.00423,0.00278,0.00239,0.0075,0.00523,0.00461,0.00362,0.01079,0.00716,0.00643,0.00555,0.01145,0.00916,0.00856,0.00668,0.01437,0.01119,0.0111,0.00875,0.01483,0.01272,0.01294,0.01098,0.01602,0.01434
"3","Cauchy",0,0,0.01366,0.00542,0.00584,0.00286,0.02216,0.01068,0.01094,0.00656,0.03121,0.01404,0.02063,0.01017,0.0497,0.01751,0.03216,0.01273,0.05466,0.01881,0.04703,0.0142,0.07416,0.01983,0.06291,0.01558,0.08783,0.02152,0.07435,0.0168,0.10166,0.0226
"4","LaPlace",0,0,0.0259,0.02167,0.01242,0.01149,0.05199,0.05557,0.02556,0.03741,0.0804,0.09134,0.05692,0.07011,0.13347,0.12999,0.09075,0.10485,0.15777,0.16583,0.1425,0.14237,0.2241,0.20635,0.19046,0.18005,0.26153,0.24468,0.23352,0.22076,0.3137,0.28503
