"","Distribution","WMW-N5","T-N5","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.23666,0.19407,0.39682,0.39371,0.44316,0.45385,0.63231,0.64627,0.78292,0.80601
"2","Exponential",0.12553,0.0501,0.18479,0.11998,0.1991,0.15018,0.29087,0.27461,0.3837,0.42238
"3","Cauchy",0.12198,0.0416,0.16061,0.05688,0.16731,0.0592,0.23901,0.06567,0.31205,0.0683
"4","LaPlace",0.19653,0.13453,0.30709,0.25473,0.33509,0.28967,0.48799,0.40892,0.63098,0.53585
