"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.01832,0.01164,0.02404,0.03029,0.0514,0.0484,0.06354,0.06505,0.04055,0.04942,0.04054,0.04862,0.08005,0.08219,0.09046,0.09826,0.07891,0.08346,0.09513,0.10089,0.11102,0.11748,0.13026,0.1345,0.1121,0.11865,0.12509,0.13508,0.13968,0.15313,0.16094,0.16739
"2","Exponential",0.02476,0.00639,0.03182,0.01879,0.07017,0.0379,0.08929,0.06162,0.05905,0.05013,0.05981,0.05046,0.11527,0.10221,0.13341,0.13209,0.11844,0.12186,0.14136,0.15193,0.16362,0.18141,0.19311,0.21658,0.17232,0.20334,0.18983,0.23467,0.20898,0.26536,0.24475,0.29801
"3","Cauchy",0.0139,0.00257,0.01592,0.00636,0.03221,0.00975,0.03659,0.01194,0.02254,0.00835,0.02184,0.00862,0.04012,0.01266,0.04347,0.01405,0.03597,0.01059,0.04131,0.01254,0.04861,0.01362,0.05634,0.01493,0.04768,0.01235,0.05132,0.01321,0.05616,0.01554,0.06407,0.01583
"4","LaPlace",0.01706,0.00782,0.02191,0.02106,0.04512,0.0331,0.05558,0.04665,0.03571,0.03391,0.03512,0.03452,0.06856,0.05617,0.07553,0.06486,0.06585,0.05418,0.07872,0.06574,0.0878,0.07202,0.10279,0.08149,0.08976,0.07159,0.09863,0.08106,0.10882,0.09009,0.12728,0.0991
