"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.01037,0.00635,0.01009,0.0128,0.02034,0.01809,0.02241,0.02226,0.01294,0.01597,0.01286,0.01543,0.02136,0.02078,0.02189,0.02338,0.01865,0.01941,0.0202,0.02089,0.02138,0.02182,0.02477,0.02421,0.01891,0.0195,0.02056,0.0213,0.02109,0.0231,0.02429,0.02453
"2","Exponential",0.01133,0.00396,0.01045,0.00746,0.0205,0.01109,0.02188,0.01418,0.01283,0.01041,0.01351,0.0103,0.02174,0.01641,0.02213,0.01826,0.01788,0.0149,0.01969,0.0168,0.02122,0.01811,0.02448,0.01962,0.02009,0.01777,0.01951,0.01805,0.02198,0.0207,0.02422,0.0215
"3","Cauchy",0.01096,0.00221,0.01124,0.00414,0.02143,0.00549,0.0222,0.00757,0.01371,0.00527,0.01373,0.00562,0.0228,0.00756,0.02215,0.0083,0.01827,0.00632,0.02032,0.00739,0.02157,0.00821,0.02312,0.00872,0.01891,0.00721,0.01943,0.00783,0.02062,0.008,0.0235,0.00875
"4","LaPlace",0.01047,0.00479,0.01048,0.00993,0.02105,0.01461,0.02276,0.01943,0.01278,0.01373,0.01277,0.0135,0.02171,0.01952,0.02253,0.02135,0.0179,0.01707,0.01954,0.01844,0.0217,0.02104,0.02417,0.02308,0.0196,0.01818,0.02035,0.02117,0.02101,0.02165,0.02336,0.02286
