"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.01712,0.01563,0.00813,0.00819,0.03223,0.03737,0.01529,0.02508,0.04751,0.06211,0.03195,0.04535,0.08001,0.09006,0.0524,0.07075,0.09312,0.11855,0.08033,0.0982,0.13401,0.14937,0.1106,0.13011,0.15678,0.18476,0.13676,0.16317,0.18972,0.2202
"2","Exponential",0,0,0.00356,0.00137,0.00127,0.00048,0.00421,0.00241,0.00154,0.00126,0.00392,0.003,0.00268,0.00215,0.00527,0.00378,0.00275,0.00291,0.00402,0.00413,0.00394,0.00312,0.0051,0.00459,0.00384,0.00376,0.00454,0.0047,0.00383,0.0038,0.00485,0.00498
"3","Cauchy",0,0,0.00835,0.0025,0.00361,0.00129,0.01242,0.00482,0.00516,0.00289,0.01639,0.00663,0.01061,0.00415,0.0238,0.00772,0.01467,0.00613,0.0255,0.00865,0.02153,0.0064,0.03486,0.00947,0.02857,0.0075,0.03699,0.00926,0.03152,0.00766,0.04417,0.01024
"4","LaPlace",0,0,0.01441,0.01048,0.00648,0.0052,0.02485,0.02409,0.01239,0.01597,0.03514,0.03622,0.02501,0.02813,0.05536,0.05038,0.03661,0.03881,0.06411,0.0627,0.05614,0.05258,0.09139,0.07702,0.07472,0.06505,0.1041,0.09171,0.09215,0.08082,0.12603,0.10647
