"","Distribution","WMW63","T63","WMW64","T64","WMW65","T65","WMW74","T74","WMW75","T75","WMW76","T76","WMW1005","T1005","WMW1507","T1507","WMW1510","T1510","WMW1512","T1512","WMW2010","T2010","WMW2015","T2015","WMW2018","T2018","NA","NA"
"1","Normal",0.21672,0.20908,0.22235,0.25074,0.30761,0.2953,0.2563,0.26966,0.31438,0.31747,0.36076,0.35893,0.33331,0.36113,0.45765,0.49688,0.50832,0.51573,0.61475,0.63599,0.66447,0.69302,0.67495,0.68417,0.78914,0.80571,0.8257,0.84812
"2","Exponential",0.12317,0.04625,0.11331,0.04885,0.15174,0.06647,0.13147,0.0498,0.15074,0.0648,0.17063,0.09017,0.15613,0.06379,0.20094,0.1445,0.23676,0.1109,0.28559,0.20912,0.30752,0.27542,0.32112,0.20567,0.39578,0.3737,0.42029,0.45663
"3","Cauchy",0.10378,0.04687,0.09634,0.04773,0.12958,0.05229,0.10834,0.0514,0.1341,0.05433,0.14958,0.05597,0.12857,0.05827,0.16951,0.06156,0.18903,0.0641,0.22731,0.06593,0.24786,0.0671,0.25592,0.06693,0.31791,0.06698,0.34118,0.06999
"4","LaPlace",0.17533,0.14551,0.17362,0.17204,0.23619,0.19922,0.19897,0.18625,0.24445,0.21258,0.27939,0.23426,0.25234,0.2466,0.34421,0.31471,0.38641,0.33754,0.47591,0.4097,0.51289,0.4417,0.52206,0.44223,0.63849,0.53781,0.6737,0.57596
