"","Distribution","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N12","T-N12","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.23481,0.19177,0.29201,0.26407,0.30125,0.33454,0.44058,0.45217,0.54749,0.55635
"2","Exponential",0.12511,0.04947,0.14445,0.06842,0.13322,0.09179,0.19632,0.1499,0.25023,0.21315
"3","Cauchy",0.12207,0.04164,0.12544,0.04848,0.11652,0.0531,0.1696,0.05955,0.20769,0.06305
"4","LaPlace",0.19873,0.13525,0.22584,0.17991,0.22799,0.22004,0.33295,0.28778,0.41837,0.35001
