"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.05822,0.04236,0.05449,0.04335,0.04105,0.04592,0.05265,0.04706,0.04912,0.04733,0.04963,0.04795,0.05217,0.04898,0.04702,0.04877,0.05251,0.04962,0.05038,0.04956,0.05084,0.04928,0.04847,0.04871,0.05044,0.04917,0.0479,0.05046,0.04859,0.04937,0.05063,0.04912
"2","Exponential",0.05696,0.02428,0.05548,0.02665,0.03991,0.02932,0.05237,0.03165,0.04985,0.03436,0.05007,0.036,0.0515,0.03653,0.04779,0.04002,0.05201,0.04025,0.05051,0.0401,0.05024,0.0405,0.04948,0.04125,0.04997,0.04187,0.04665,0.04387,0.04974,0.04457,0.05148,0.04495
"3","Cauchy",0.0583,0.01404,0.05585,0.01478,0.04104,0.0153,0.05304,0.01595,0.05031,0.01717,0.04999,0.01676,0.05219,0.01784,0.04714,0.01791,0.05239,0.01926,0.05037,0.01819,0.05019,0.01852,0.04945,0.01802,0.04934,0.01879,0.04723,0.01877,0.04906,0.01869,0.05085,0.01922
"4","LaPlace",0.056,0.0305,0.05582,0.03612,0.04024,0.03811,0.05303,0.04049,0.05008,0.04178,0.05044,0.04285,0.05261,0.0445,0.048,0.04556,0.05083,0.0449,0.04976,0.0459,0.04991,0.04603,0.0492,0.04578,0.04989,0.04595,0.0479,0.04718,0.04924,0.04725,0.04949,0.04708
