"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.07795,0.05957,0.13791,0.18182,0.32093,0.3245,0.4391,0.45774,0.33343,0.38784,0.33271,0.38696,0.60303,0.61885,0.68539,0.71386,0.64278,0.66819,0.72423,0.74734,0.79534,0.81192,0.85112,0.86116,0.82607,0.83887,0.86427,0.88199,0.89863,0.91426,0.93,0.93802
"2","Exponential",0.01364,0.00484,0.01593,0.01095,0.03471,0.01836,0.04184,0.0266,0.02518,0.01914,0.02544,0.01913,0.04902,0.03541,0.05427,0.04448,0.04534,0.03626,0.0534,0.04488,0.06358,0.05422,0.07388,0.06344,0.06208,0.05319,0.0675,0.06295,0.07537,0.07391,0.08847,0.08297
"3","Cauchy",0.03356,0.01046,0.04904,0.0276,0.10553,0.04295,0.1342,0.05439,0.09491,0.04107,0.09312,0.04002,0.17981,0.05799,0.20863,0.06526,0.18486,0.055,0.2216,0.06155,0.25809,0.06607,0.29515,0.0708,0.26853,0.06173,0.29733,0.06572,0.32973,0.0693,0.37344,0.07542
"4","LaPlace",0.06161,0.03912,0.10184,0.11749,0.22784,0.20235,0.30476,0.28151,0.22842,0.23474,0.22676,0.23105,0.42247,0.37517,0.4878,0.44258,0.45275,0.40416,0.52298,0.46549,0.59401,0.52409,0.66095,0.57963,0.62777,0.54925,0.67816,0.60271,0.72364,0.64613,0.77548,0.68784
