"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.00372,0.00324,0.00127,0.00117,0.00382,0.00422,0.00142,0.00248,0.00425,0.00545,0.00252,0.00346,0.00494,0.00522,0.00288,0.00394,0.00458,0.00577,0.00364,0.00413,0.00541,0.00584,0.00366,0.00431,0.00512,0.00606,0.00385,0.00453,0.00519,0.00595
"2","Exponential",0,0,0.00389,0.0014,0.00126,0.00049,0.00369,0.0021,0.0015,0.00147,0.00379,0.0031,0.00264,0.00238,0.00535,0.00393,0.00258,0.00259,0.00432,0.00458,0.00346,0.00316,0.00505,0.00456,0.00404,0.00364,0.00476,0.0044,0.0037,0.00381,0.00525,0.00511
"3","Cauchy",0,0,0.0037,0.00071,0.00139,0.00045,0.00426,0.00148,0.00165,0.00094,0.00373,0.00161,0.00249,0.00111,0.00506,0.00184,0.00273,0.00138,0.00411,0.00193,0.00339,0.00158,0.00513,0.00225,0.00398,0.00157,0.00512,0.00228,0.00369,0.00185,0.00486,0.00221
"4","LaPlace",0,0,0.00363,0.00226,0.00158,0.00116,0.00412,0.00362,0.00153,0.00222,0.004,0.00457,0.00227,0.0029,0.00515,0.0049,0.00282,0.00333,0.00428,0.00522,0.00368,0.00392,0.00536,0.00546,0.00381,0.00426,0.005,0.00576,0.00378,0.0045,0.00511,0.00539
