"","Distribution","WMW-N5","T-N5","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.15427,0.12753,0.3244,0.33321,0.34101,0.34368,0.51373,0.5325,0.72145,0.74365
"2","Exponential",0.07929,0.02906,0.14118,0.10302,0.1457,0.1162,0.21143,0.22838,0.31899,0.38267
"3","Cauchy",0.07277,0.02334,0.12127,0.04369,0.12051,0.03641,0.16719,0.04049,0.25483,0.05141
"4","LaPlace",0.12627,0.08555,0.24071,0.20788,0.25221,0.20744,0.38195,0.31377,0.55975,0.46258
