"","Distribution","WMW-N5","T-N5","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.15427,0.12753,0.32608,0.33345,0.45005,0.45609,0.59959,0.61755,0.77024,0.79003
"2","Exponential",0.07929,0.02906,0.14146,0.10148,0.19721,0.16403,0.25743,0.27398,0.36394,0.42497
"3","Cauchy",0.07277,0.02334,0.12194,0.04355,0.16197,0.05004,0.20643,0.0507,0.29249,0.0559
"4","LaPlace",0.12627,0.08555,0.24506,0.21023,0.33662,0.28068,0.45367,0.37371,0.61109,0.50992
