"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N16","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0.02309,0.10071,0.03556,0.05778,0.04138,0.05608,0.04059,0.05708,0.04037,0.05514,0.04444,0.05499,0.04466,0.04097,0.04613,0.04131,0.04629,0.05305,0.04682,0.0528,0.04681,0.05014,0.04798,0.04979,0.04811,0.05103,0.04902,0.05115,0.0489,0.0515,0.04766
"2","Exponential",0,0.0254,0.09992,0.02565,0.05675,0.02473,0.05652,0.02534,0.05808,0.02526,0.05594,0.02762,0.05617,0.02782,0.04139,0.03018,0.04127,0.02975,0.05336,0.03223,0.05347,0.03203,0.04887,0.03388,0.04962,0.03402,0.05216,0.03692,0.05013,0.03627,0.053,0.03806
"3","Cauchy",0,0.01334,0.10072,0.01304,0.05662,0.01373,0.05865,0.01402,0.05629,0.01354,0.05621,0.01532,0.05523,0.01441,0.04103,0.01554,0.04195,0.01576,0.05428,0.01644,0.05195,0.01602,0.04959,0.01673,0.05077,0.01691,0.05058,0.01773,0.05015,0.01725,0.05254,0.01736
"4","LaPlace",0,0.01869,0.09988,0.02473,0.05586,0.03075,0.0583,0.03076,0.05677,0.03001,0.0554,0.03529,0.05505,0.03488,0.0412,0.03881,0.04174,0.03808,0.05237,0.0402,0.05309,0.04099,0.04881,0.04121,0.04983,0.04236,0.0492,0.04312,0.05032,0.04267,0.05388,0.04503
