"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.11339,0.09645,0.10154,0.11428,0.14005,0.13334,0.14903,0.14959,0.16676,0.16761,0.18413,0.18151,0.18575,0.19631,0.20939,0.21189,0.22324,0.23053,0.23463,0.24353,0.25249,0.2589,0.25635,0.27629,0.27713,0.29224,0.29851,0.30679,0.30935,0.32266,0.31991,0.33499
"2","Exponential",0.14371,0.06759,0.13361,0.09229,0.18337,0.12001,0.19853,0.14878,0.22381,0.18249,0.25064,0.21317,0.25521,0.24223,0.29342,0.27645,0.30756,0.30456,0.32873,0.33526,0.34926,0.36876,0.36053,0.39726,0.38584,0.42189,0.4136,0.45171,0.42676,0.47524,0.44642,0.50338
"3","Cauchy",0.07512,0.02235,0.06132,0.02422,0.08309,0.02686,0.08147,0.02771,0.0877,0.02769,0.09386,0.02813,0.08982,0.02935,0.10241,0.02984,0.10194,0.02937,0.10787,0.03126,0.1144,0.03129,0.11072,0.03148,0.11926,0.03122,0.12737,0.03187,0.12994,0.033,0.13298,0.03236
"4","LaPlace",0.1026,0.07089,0.08991,0.08352,0.12198,0.09556,0.12769,0.10469,0.13865,0.11374,0.15327,0.12194,0.15225,0.13127,0.17312,0.13833,0.18126,0.14824,0.19173,0.15537,0.2053,0.1663,0.20537,0.17179,0.22289,0.18075,0.23942,0.18768,0.24426,0.19402,0.25467,0.20239
