"","Distribution","MR-WMW-N5","MR-T-N5","MR-WMW-N8","MR-T-N8","MR-WMW-N10","MR-T-N10","MR-WMW-N15","MR-T-N15","MR-WMW-N20","MR-T-N20","AS-WMW-N5","AS-T-N5","AS-WMW-N8","AS-T-N8","AS-WMW-N10","AS-T-N10","AS-WMW-N15","AS-T-N15","AS-WMW-N20","AS-T-N20"
"1","Normal",0.20345,0.19548,0.29848,0.33083,0.33966,0.34236,0.50566,0.53551,0.73041,0.74488,0.2048,0.19758,0.20836,0.2159,0.34075,0.34411,0.5065,0.53679,0.72809,0.74419
"2","Exponential",0.03192,0.01737,0.03068,0.02401,0.02963,0.02042,0.02691,0.02417,0.03398,0.02962,0.03216,0.0176,0.02296,0.01543,0.02995,0.02038,0.02617,0.02391,0.03395,0.02971
"3","Cauchy",0.08723,0.03209,0.10874,0.04354,0.11945,0.03716,0.16148,0.04107,0.25912,0.05045,0.08772,0.03181,0.07674,0.02694,0.11909,0.03621,0.1613,0.04126,0.258,0.04945
"4","LaPlace",0.1605,0.12845,0.22478,0.2108,0.25207,0.20898,0.37066,0.3122,0.56552,0.46244,0.16061,0.13001,0.15523,0.13422,0.25156,0.20822,0.3728,0.31461,0.56393,0.4626
