"","Distribution","WMW-N5","T-N5","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.05537,0.04431,0.05333,0.04758,0.04905,0.04648,0.05234,0.04892,0.05044,0.04994
"2","Exponential",0.05622,0.02746,0.05364,0.03244,0.04883,0.03425,0.05306,0.04019,0.04867,0.04344
"3","Cauchy",0.05551,0.01532,0.05409,0.0165,0.05065,0.0172,0.05381,0.01793,0.05007,0.01936
"4","LaPlace",0.05457,0.03499,0.05268,0.04032,0.05137,0.04385,0.05263,0.04583,0.04763,0.04671
