"","Distribution","WMW-N5","T-N5","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.0328,0.02335,0.03618,0.03435,0.03024,0.02859,0.02749,0.02744,0.03336,0.03344
"2","Exponential",0.03426,0.01368,0.03538,0.02364,0.03107,0.02135,0.02875,0.02388,0.03266,0.02977
"3","Cauchy",0.0337,0.00747,0.03576,0.01174,0.03011,0.01018,0.02795,0.01053,0.03244,0.01239
"4","LaPlace",0.03432,0.01747,0.03594,0.02994,0.03032,0.02529,0.02824,0.02688,0.03214,0.03217
