"","Distribution","WMW-N8","T-N8","WMW-N10","T-N10","WMW-N12","T-N12","WMW-N15","T-N15","WMW-N20","T-N20"
"1","Normal",0.40084,0.39628,0.49256,0.50457,0.54657,0.55561,0.66082,0.68167,0.81197,0.82845
"2","Exponential",0.18381,0.11946,0.22164,0.18072,0.25122,0.21317,0.30731,0.3041,0.41283,0.45032
"3","Cauchy",0.15883,0.05647,0.18727,0.06136,0.20757,0.06259,0.25387,0.06683,0.33457,0.07062
"4","LaPlace",0.30509,0.25353,0.37665,0.32352,0.41788,0.34888,0.51274,0.43425,0.66494,0.55852
