"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.04159,0.0289,0.0643,0.08315,0.15016,0.14715,0.20573,0.21323,0.14409,0.1723,0.14669,0.17293,0.29025,0.30021,0.33869,0.36315,0.30879,0.32699,0.36732,0.38725,0.42733,0.44607,0.48624,0.50002,0.45265,0.47119,0.49886,0.52446,0.54355,0.57552,0.60115,0.61967
"2","Exponential",0.01082,0.00368,0.01156,0.00793,0.02025,0.011,0.02234,0.0144,0.0132,0.01055,0.01344,0.01108,0.02148,0.01524,0.02178,0.01834,0.01822,0.01476,0.02012,0.01692,0.02248,0.01882,0.02483,0.02089,0.02012,0.01718,0.02083,0.01855,0.02084,0.01951,0.02402,0.02193
"3","Cauchy",0.02234,0.00576,0.02831,0.01352,0.06034,0.02073,0.07715,0.02719,0.05148,0.02003,0.05021,0.02001,0.0946,0.02774,0.10971,0.03287,0.09473,0.02719,0.11213,0.03055,0.13072,0.03353,0.15445,0.03581,0.13319,0.02942,0.1496,0.03295,0.16477,0.03491,0.19089,0.03712
"4","LaPlace",0.03517,0.01939,0.05313,0.05535,0.11662,0.09415,0.155,0.13432,0.10646,0.10523,0.10757,0.10543,0.21067,0.17666,0.24709,0.21386,0.22092,0.18557,0.26318,0.22007,0.30789,0.25325,0.3551,0.28557,0.32474,0.26361,0.36236,0.29903,0.39642,0.3283,0.44773,0.35876
