"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0,0,0.00701,0.00628,0.00292,0.00305,0.0102,0.01166,0.00446,0.00783,0.01267,0.01671,0.00811,0.01135,0.01927,0.02172,0.01112,0.01516,0.0195,0.02544,0.01661,0.01995,0.02754,0.03006,0.0203,0.02435,0.03069,0.03559,0.02475,0.02933,0.03472,0.04004
"2","Exponential",0,0,0.00958,0.00272,0.00457,0.00105,0.01555,0.00881,0.00687,0.0056,0.01962,0.01657,0.01413,0.01357,0.02999,0.02884,0.01955,0.02392,0.03282,0.04322,0.02832,0.03699,0.04401,0.05756,0.03618,0.05219,0.0515,0.07533,0.04412,0.06953,0.05931,0.09484
"3","Cauchy",0,0,0.00464,0.00123,0.00217,0.00051,0.0068,0.00249,0.00276,0.00142,0.0072,0.00252,0.0049,0.00201,0.00937,0.00306,0.00523,0.0025,0.00891,0.00341,0.0077,0.00258,0.01137,0.0035,0.00911,0.00299,0.01106,0.00416,0.00983,0.00321,0.01293,0.00395
"4","LaPlace",0,0,0.00648,0.00412,0.00289,0.00224,0.00869,0.00818,0.00398,0.0051,0.01157,0.01156,0.00737,0.0081,0.01595,0.01418,0.00945,0.01061,0.01604,0.0167,0.01402,0.01336,0.02202,0.01897,0.01824,0.01642,0.02345,0.02159,0.0207,0.01879,0.02622,0.02443
