"","Distribution","WMW-N5","T-N5","WMW-N6","T-N6","WMW-N7","T-N7","WMW-N8","T-N8","WMW-N9","T-N9","WMW-N10","T-N10","WMW-N11","T-N11","WMW-N12","T-N12","WMW-N13","T-N13","WMW-N14","T-N14","WMW-N15","T-N15","WMW-N16","T-N116","WMW-N17","T-N17","WMW-N18","T-N18","WMW-N19","T-N19","WMW-N20","T-N20"
"1","Normal",0.0177,0.01165,0.02306,0.02946,0.05205,0.04883,0.06449,0.06577,0.08108,0.08258,0.05976,0.06658,0.07881,0.0805,0.09049,0.09835,0.10545,0.11582,0.09498,0.10131,0.1102,0.11678,0.12958,0.1342,0.14034,0.15087,0.12555,0.13583,0.13929,0.15315,0.16242,0.16797
"2","Exponential",0.02462,0.0064,0.03161,0.01917,0.07052,0.03793,0.08935,0.06146,0.11436,0.08917,0.08598,0.07627,0.11671,0.10293,0.13369,0.13238,0.15625,0.16519,0.13986,0.1518,0.16504,0.1836,0.19187,0.2148,0.20916,0.24974,0.19235,0.23498,0.2111,0.26505,0.24339,0.29797
"3","Cauchy",0.01385,0.00282,0.01585,0.00639,0.03197,0.00942,0.03669,0.0126,0.04491,0.01438,0.03109,0.01033,0.03996,0.01235,0.04342,0.01448,0.04811,0.01544,0.04256,0.01239,0.04851,0.01364,0.05556,0.01492,0.05864,0.01638,0.05141,0.01355,0.0552,0.01452,0.06484,0.01593
"4","LaPlace",0.01738,0.00809,0.02191,0.0209,0.04563,0.03496,0.05513,0.04571,0.06849,0.05691,0.04948,0.04499,0.06727,0.05491,0.07517,0.06444,0.08699,0.07602,0.07644,0.06471,0.08862,0.07399,0.10455,0.08261,0.1113,0.09134,0.09855,0.08119,0.10964,0.09139,0.12658,0.09927
